Epoch,Training_Loss,Validation_Loss,Training_MAE,Validation_MAE
1,923108.125,106116.265625,918.2300415039062,319.6731262207031
2,910201.75,100066.7890625,911.967041015625,309.0216369628906
3,879200.0625,79082.0,896.3298950195312,274.193359375
4,810478.75,53156.390625,855.1715087890625,221.9664306640625
5,702447.1875,23254.56640625,787.6727905273438,139.16604614257812
6,555498.5625,4266.06591796875,688.2916259765625,55.75095748901367
7,390342.53125,22832.498046875,552.822998046875,137.6412353515625
8,231875.078125,104889.609375,397.87646484375,317.8085632324219
9,132660.625,234752.5,298.9145202636719,480.484375
10,98318.96875,341048.875,264.50286865234375,580.65625
11,97542.7109375,371352.96875,260.8376159667969,606.1895751953125
12,95453.265625,362396.1875,260.96380615234375,598.75634765625
13,94848.3984375,349308.9375,259.7770080566406,587.7393798828125
14,90497.8984375,342231.96875,252.53216552734375,581.6710205078125
15,93023.1328125,336304.125,257.62255859375,576.5224609375
16,87942.515625,218224.203125,249.27093505859375,458.43109130859375
17,56891.66015625,105901.3359375,185.10231018066406,306.03790283203125
18,49214.46875,127607.5,169.45716857910156,342.70941162109375
19,43738.5,112004.6328125,157.49671936035156,316.8314514160156
20,39126.11328125,128473.6640625,150.25552368164062,339.6360168457031
21,34491.1171875,122290.6796875,142.01036071777344,327.1467590332031
